label-coarse,text
OTHERS,how can i get in touch with michael moore of `` roger & me '' ?
OTHERS,"why are sometimes your hands cold , but the rest of you isn 't ?"
OTHERS,what relative of the racoon is sometimes known as the cat-bear ?
4,what is the speed of the mississippi river ?
5,where did the real st. nicholas live ?
OTHERS,what is a cake of soap ?
OTHERS,what was the first sam spade novel ?
3,who was the most famous food editor of the new york times ?
OTHERS,what is a fear of being dirty ?
OTHERS,what is carpal tunnel syndrome ?
5,where can i find an ask an expert site ?
OTHERS,what 's the hardest substance in the human body ?
OTHERS,what did dan aykroyd and john belushi quit saturday night live to become ?
OTHERS,what astronomical phenomenon takes place in jan. 1999 ?
OTHERS,how do they find or choose witnesses to an execution ?
4,how many people hike ?
3,who sought to create the great society ?
OTHERS,what 1915 film was the first to gross $5 million ?
OTHERS,what is the executor in a will ?
OTHERS,what animal has the biggest eyes ?
3,what is michael jackson 's middle name ?
4,when did hitler come to power in germany ?
OTHERS,how was the aclu formed ?
5,where did the sport of caber-tossing originate ?
5,what is the richest state in the u.s. ?
5,what country contains the highest point in south america ?
5,what river flows past the temple of karnak ?
OTHERS,what is a gandy dancer ?
4,what is the temperature for baking peachy oat muffins ?
4,when was london 's docklands light railway constructed ?
2,what is rcd ?
3,"when mighty mouse was conceived , what was his original name ?"
4,how long were tyrannosaurus rex 's teeth ?
OTHERS,how do you stop junk snail mail ?
OTHERS,in what war was the first submarine used ?
5,what country received all the nobel prizes awarded in 1976 ?
3,what hungarian cardinal was first a state prisoner and then a refugee in the u.s. embassy 1956-1971 ?
4,how long does it take for spider-man 's web to evaporate ?
3,what comedian hit the tv screen in 1951 with the nbc afternoon show time for ernie ?
OTHERS,what are hook worms ?
3,"what famous coach said `` if you can 't beat 'em in the alley , you can 't beat 'em on the ice '' ?"
OTHERS,what does `` e pluribus unum '' on the penny mean ?
3,whom did the chicago bulls beat in the 1993 championship ?
OTHERS,"what was the first funk 'n lata , brazilian group , success ?"
5,where do quality drinks begin ?
OTHERS,what does `` saute '' mean ?
OTHERS,what is smokey the bear 's middle name ?
4,when did the royal wedding of prince andrew and fergie take place ?
OTHERS,what 's the red planet ?
3,who plays shortstop for charlie brown 's baseball team ?
4,how much did alaska cost when bought from russia ?
OTHERS,how is plastic made ?
3,who is colin powell ?
5,where are diamonds mined ?
5,what 's the farthest planet from the sun ?
5,the orange bowl is in what city ?
3,name a french fascist party .
OTHERS,"what color , s , appear on boxes of kodak film ?"
OTHERS,what is hyperopia ?
OTHERS,what is the name of the 1919 occurrence in which british troops killed over 3 unarmed indian protestors ?
5,what constellation is known as the water bearer ?
OTHERS,what is an aortic abdominal aneurysm ?
3,who was the first king of england ?
5,where are some great educational resources for parents and teachers ?
OTHERS,what is the name of the jewish alphabet ?
3,who is the composer of `` canon in d major '' ?
OTHERS,what does the latin ante mortem mean ?
4,what is the fare cost for the round trip between new york and london on concorde ?
OTHERS,what is a bourdon tube ?
4,how much did the first barbie doll sell for in 1959 ?
4,how much do tuberculosis combatting drugs cost ?
3,name the ranger who was always after yogi bear .
3,"name the poet of the poem which begins : i do not know much about gods ; but i think that the river is a strong brown god-sullen , and untamed ?"
5,what is the greatest hiking web site ?
OTHERS,what 's the singular of dice ?
3,who was the prophet of the jewish people ?
OTHERS,how do i register a trade name in north carolina ?
5,"what landmark italian restaurant can be found at 239 west 48th street , new york city ?"
OTHERS,what is eagle 's syndrome styloid process ?
3,who danced into stardom with fred astaire in 1941 's you 'll never get rich ?
3,"who created the comic strip , `` garfield '' ?"
3,what cheery fellow got the zip code 9971 from the u.s. postal service in 1963 ?
OTHERS,what 's the difference between tft and dual-scan display ?
2,what does shield stand for ?
OTHERS,what is the history of skateboarding ?
OTHERS,what was the name of aristotle onassis 's yacht ?
4,"when did lucelly garcia , a former ambassador of columbia to honduras , die ?"
OTHERS,what 's the state motto of california ?
4,when was hurricane hugo ?
3,who invented the wonderbra ?
OTHERS,what tv show did john sebastian sing the theme for ?
OTHERS,what currents affect the area of the shetland islands and orkney islands in the north sea ?
3,who was hitler 's minister of propaganda ?
5,what russian seaport has a name meaning `` lord of the east '' ?
OTHERS,what is the collective noun for geese ?
3,who was the 15th century fire-and-brimstone monk who gained control of florence but ended burnt at the stake ?
OTHERS,how do you do a bibliography with an unknown author ?
OTHERS,what are the top 5 fiction books of all time ?
OTHERS,what is a glory hole ?
OTHERS,why do eyes sometimes look red in photographs ?
OTHERS,why do heavier objects travel downhill faster ?
3,"what schools in the washington , dc nn nn vbp nn nn nn nn ."
5,what is the highest mountain in the world ?
3,what radio station did paul harvey work for ?
OTHERS,why is rush 's 2112 called 2112 ?
3,name the food company that traveled to soviet georgia to film a series of ads .
OTHERS,what does verdandi mean ?
OTHERS,what prompted the co-pilot of the enola gay to enter only `` my god '' in his log ?
OTHERS,what can i do to get into an ivy league school ?
OTHERS,what term does a czech use to describe a pole ?
OTHERS,what did aaron hass write ?
OTHERS,what were the first words spoken on a film sound track ?
3,who won world war ii ?
OTHERS,what are the seven deadly sins ?
3,"what is the name of actor rex harrison 's son , who starred in a modestly popular tv show during the late 1960's ?"
2,what does lol mean ?
OTHERS,what historical event happened in dogtown in 1899 ?
OTHERS,what was mel gibson 's first movie ?
OTHERS,what 's another name for aspartame ?
OTHERS,what is `` alternative '' anymore ?
OTHERS,what 's the sequel to alice 's adventures in wonderland ?
OTHERS,what is srpska krajina ?
OTHERS,what is a jellicle cat ?
5,what is the oldest website on the internet ?
3,what is nicholas cage 's occupation ?
OTHERS,how is water treated to make it safe to drink ?
OTHERS,what did mighty mouse always sing as he went into action ?
3,what president had never held an elected office until he was elected to the white house ?
3,what son of a 15-year-old mexican girl and a half-irish father became the world 's most famous greek ?
5,what is the snowiest city in the u.s. ?
4,what is the average time to kiss somene ?
OTHERS,what was the distinguishing mark on the `` little rascals '' dog ?
3,what organization was founded by the rev. jerry falwell ?
OTHERS,what is the origin of the word `` attic '' ?
OTHERS,what is the difference between hair and fur ?
4,cnn began broadcasting in what year ?
3,what comedienne upstaged dwight d. eisenhower 's first inauguration by giving birth to her first child ?
OTHERS,what is `` chicago hope '' ?
OTHERS,what is a fear of speaking ?
OTHERS,what is the origin of blue for boys and pink for girls ?
4,how many villi are found in the small intestine ?
OTHERS,what are the ages in comic book lingo ?
5,what countries have the largest armed forces in the world ?
3,"who was the first american poet to win the nobel prize for literature , in 1948 ?"
2,what is svhs ?
3,what are the major companies that are part of dow jones ?
OTHERS,what animals acted as lapwarmers for american colonists in church ?
OTHERS,what is titanium ?
OTHERS,what are the most common elements in seawater ?
OTHERS,what food can i use to catch a possum ?
4,how long is human gestation ?
3,who spoke the only word in mel brooks 's silent movie ?
OTHERS,how do you get a pointsettia to turn red ?
4,how many species of sharks are there ?
3,who wrote the poem that starts `` i love your lips when they 're wet with wine and red with a warm desire '' ?
3,who is the fastest swimmer in the world ?
OTHERS,what is a cullion ?
4,how many bones are in the human hand ?
4,how many times in his 16-year national basketball associaton career was john havlicek a member of the all-star team ?
3,who 's played the most games for the new york yankees ?
OTHERS,"what `` melts in your mouth , not in your hands '' ."
OTHERS,what is the origin of the word `` amen '' ?
OTHERS,what 1966 boob tube bomb took astronauts back to prehistoric times ?
OTHERS,what net game sees its women 's world amateur champions receive the uber cup ?
3,name the various costumed personas of dr. henry pym .
4,when did spielberg direct `` jaws '' ?
OTHERS,what is the legal blood alcohol limit for the state of california ?
3,who was the prophet of the muslim people ?
2,what does the `` blue ribbon '' stand for ?
OTHERS,what caused shea & gould to close their l.a. office ?
4,how many times does the tide ebb and flow each day ?
3,name randy craft 's lawyer .
4,how long was the longest sneezing attack ?
3,what was the name of the confederate mounted guerrilla group with which jesse james and coleman younger had ridden ?
OTHERS,how does a glacier form ?
OTHERS,what is the history of yo-yos ?
4,how many times larger than life size is the statue of liberty ?
3,who was the first american in space ?
3,what actress starred in `` the lion in winter '' ?
4,how many south american countries have the letter z in their names ?
3,who made the first gas engine ?
4,how many cubic feet of space does a gallon of water occupy ?
OTHERS,name an american made motorcycle .
OTHERS,how is digital audio used ?
OTHERS,what is a pyrotechnic display ?
OTHERS,how is the election of a new pope announced to the world ?
OTHERS,what 1895 h.g. wells novel was written under the title the chronic argonauts ?
OTHERS,what are geckos ?
4,what century does captain video live in ?
OTHERS,what is federal income tax ?
OTHERS,what is a wet dream ?
3,which of the following people is not associated with andy warhol ?
5,what u.s. state is dixville notch in ?
4,what percentage of americans own their homes ?
5,where can i find a person 's address from a telephone number ?
3,what was queen victoria 's title regarding india ?
4,how many thousands of students attend the university of massachusetts ?
OTHERS,what 's new in the postal world in 1999 ?
5,what state is niagara falls located in ?
5,what are some good fractal web sites ?
3,"what u.s. general died december 1 , 1945 , when his jeep collided with a truck ?"
5,what is bill gates of microsoft e-mail address ?
3,what presidential press secretary dismissed watergate as a third-rate burglary attempt ?
OTHERS,how can you contact play producers and promoters on-line ?
OTHERS,what magazine paid ernest hemingway $15 a word to write a bullfighting article ?
5,where 's the bernini-bristol hotel ?
OTHERS,a corgi is a kind of what ?
3,what 's the most common name in nursery rhymes ?
OTHERS,what is a philanthropist ?
OTHERS,which side of the face do most artists tend to show more of in self-portraits ?
OTHERS,how can you tell when figs are ripe ?
OTHERS,what is false consciousness ?
OTHERS,what part of your body contains the corpus callosum ?
3,what political party is sinn fein a part of ?
OTHERS,what kennedy was married to ethel ?
3,who is section manager for guidance and control systems at jpl ?
3,who is the famous sister of actress olivia de havilland ?
3,"who was shot in the back during a poker game in deadwood , the dakota territory ?"
3,who is charles lindbergh ?
4,when was nostradamus born ?
5,what are the largest deserts in the world ?
4,how far out is the universe ?
3,name the three races unleashed by the celestials in marvel comics .
OTHERS,name the men 's cologne that is associated with the sea .
OTHERS,what is dry ice ?
3,woodrow wilson served as president of what university ?
3,what are the top ten most common girl names in the us ?
3,who wrote the bible ?
OTHERS,how does crosstalk relate to insb thickness in infrared detectors ?
3,"who is the famous movie star who also acted as sewer commissioner of provo canyon , utah ?"
OTHERS,what film dramatized the scopes monkey trial ?
5,what famed wall supports the badaling turret ?
OTHERS,what is the origin of thank you notes ?
OTHERS,how do i start a web based business ?
OTHERS,what does the name `` anthony '' mean ?
OTHERS,what is the weather like on the moon ?
OTHERS,why is jane goodall famous ?
3,whose image is alleged to be on the shroud of turin ?
OTHERS,"what was suzy parker doing to earn $1 , 000 in the early 1950 's ?"
4,how many colors are there in a rainbow ?
OTHERS,what war was fought by the spanish as far as the philippines ?
OTHERS,what is the filmmakers collabrative ?
3,what was the name of the director of the movie `` jaws '' ?
3,who is the richest woman in the world ?
OTHERS,name a golf course in myrtle beach .
4,how many home runs did lou gehrig have during his career ?
OTHERS,"what is the main language of sao paulo , brazil ?"
OTHERS,what nevil shute novel is about the doomed survivors of a nuclear war ?
OTHERS,"what 12-hour cold medicine uses the formula `` 6 , 6 , 12 '' in its ads ?"
OTHERS,what is `` flintknapping '' ?
OTHERS,what are the four natural aids used in riding a horse ?
OTHERS,how is carbon dioxide removed from natural gas ?
OTHERS,name a film that has won the golden bear in the berlin film festival ?
OTHERS,what do flatfish eat ?
3,who was chief engineer of the starship enterprise ?
3,who claimed to be the world 's most perfectly-developed man ?
5,what sea separates naples and algiers ?
5,what province is edmonton located in ?
3,what is her husband 's name ?
OTHERS,how do you say `` eat the day '' in latin ?
OTHERS,what is a portal ?
3,who holds the career record for the most major league home runs ?
4,how much did a mcdonald 's hamburger cost in 1963 ?
3,name the person who burst through the screen in the lite beer commercials .
5,what city has the two steepest streets in the u.s. ?
OTHERS,what does the dot on the letter i mean ?
3,"what was the real name of writer ross macdonald , creator of the hero lew archer ?"
2,what does a&w of root beer fame stand for ?
OTHERS,what are some chemical properties of mendelevium ?
3,who invented volleyball ?
3,who took over as conductor of the boston pops after arthur fiedler 's long reign ?
2,cpr is the abbreviation for what ?
OTHERS,what cancer is commonly associated with aids ?
OTHERS,what are the four most widely-used languages in north america ?
OTHERS,what are `` inkhorn terms '' ?
OTHERS,what star-faring race brought about the inhumans on marvel 's earth ?
OTHERS,what was the rallying cry of the early american revolutionaries ?
5,what california bay 's largest island is angel island ?
OTHERS,"why is the universe flat , if it started by an explosion , shouldn 't it be a sphere ?"
3,what piano company claims its product is the `` instrument of the immortals '' ?
OTHERS,what animal dined on bread and oysters with a carpenter ?
4,what day was pearl harbor attacked in 1942 ?
OTHERS,what is the lowest level of the american judiciary ?
3,"who wrote the book , `` the grinch who stole christmas '' ?"
OTHERS,how does zatanna perform her magic in dc comics ?
3,which former ku klux klan member won an elected office in the u.s. ?
3,who banned peter rose from baseball for betting on games ?
4,what is the recomended age to switch a child from a crib to a bed ?
4,how many months does a normal human pregnancy last ?
OTHERS,what are boxcars ?
4,what day is known as the `` national day of prayer '' ?
5,where 's the petrified forest ?
OTHERS,what is a fear of stings ?
3,what buxom blonde appeared on the cover of more than 5 magazines ?
OTHERS,what book did aaron hass write ?
5,where is los vegas ?
5,where can i find the names of all the 15 pokemon ?
OTHERS,what is the s&p 500 used for ?
4,on what day were john f and jackie kennedy married ?
OTHERS,what is a bone marrow transplant meant for ?
OTHERS,what does the peugeot company manufacture ?
OTHERS,what therapy attempts to elicit the `` primal scream '' ?
OTHERS,how does marl form and what mineral does it contain ?
3,name one of the major gods of hinduism .
OTHERS,what piece of jewelry is pictured on monopoly 's luxury tax space ?
OTHERS,what was the favorite sport of tom wolfe 's the pump house gang ?
5,where did dylan thomas die ?
4,where does the u.s. rank among world countries in area ?
4,when did the vesuvius last erupt ?
OTHERS,which of many numbered vats of scotch was judged best by a panel of experts in 1863 ?
5,where is the virtual desk reference ?
4,"what is the approximate population of las vegas , n.m ?"
OTHERS,what do you get by mixing gin and vermouth ?
4,what was joe namath 's first contract worth ?
5,what 's the fifth-largest country in the world ?
OTHERS,how can i find a list of celebrities ' real names ?
4,how many marx brothers were there ?
3,what kind of business is 7-eleven ?
OTHERS,what are the ingredients of coca-cola ?
3,what director made one silent and one sound version of the ten commandments ?
3,who invented the toothbrush ?
5,what new england state carries the telephone area code 27 ?
3,who portrayed carl bernstein in all the president 's men ?
5,what ocean is the largest in the world ?
3,what role do fruits play in the survival of plants ?
3,what suburban housewife and mother of three wrote the feminine mystique ?
OTHERS,how can anyone tell if a female had sexual intercourse ?
OTHERS,how do you make dumplings ?
3,name the first private citizen to fly in space .
OTHERS,what is the circumorbital hematoma ?
3,who invented the game bowling ?
3,name dick tracy 's two children .
4,how many disks does each player have in a four-handed game of crokinole ?
5,what 's the name of a hotel in indianapolis ?
3,who played lucas mccain on the rifleman ?
OTHERS,what does ribavirin consist of ?
OTHERS,"what does caliente mean , in english ?"
3,who is the best known villain of the 165 gunpowder plot ?
3,who used to make cars with rotary engines ?
4,what are the unemployment statistics for the years 1965 and 1990 ?
OTHERS,what 's a male `` cuckquean '' ?
OTHERS,how do clouds form ?
5,where is tufts university ?
OTHERS,what is the bernoulli principle ?
OTHERS,what kind of sports team is the buffalo sabres ?
OTHERS,what is plc ?
OTHERS,what is the nature of snow and how is the formation of snow different from that of ice ?
5,where can i get a complete listing of showtimes in my area ?
OTHERS,"what world war i battle saw 6 , 0 troops killed in one day ?"
OTHERS,what are the seven wonders of the world ?
OTHERS,"what was the 24-disc john gabel entertainer the first example of , in 1960 ?"
3,who wrote `` the scarlet letter '' ?
5,which city did christian crusaders fight to recapture from the muslims ?
OTHERS,what color is the eight-ball in pocket billiards ?
3,who is johnny carson ?
5,where is the abominable snowman said to wander ?
OTHERS,what is a fear of worms ?
OTHERS,what is a stratocaster ?
OTHERS,what kind of meat is fray bentos synonymous with ?
OTHERS,why can 't you taste anything when you have a cold ?
5,what rocky mountain ridge separates north america 's eastward and westward-flowing rivers ?
4,what percent liked thatcher after she had been in power for a decade ?
5,where can i look at a perpetual calendar ?
OTHERS,what flag flies over wake island ?
4,how many consecutive baseball games did lou gehrig play ?
OTHERS,"what was the proper laugh-in respones to : `` say goodnight , dick '' ?"
5,what city was president william mckinley shot in ?
OTHERS,what is a firewall ?
OTHERS,what causes an earthquake ?
OTHERS,how did the hohenzollerns build their power around 17 ?
OTHERS,what is the difference between a fruit and a vegetable ?
5,where 's the 19th hole on a golf course ?
OTHERS,what color is chablis ?
5,"what prison is found in ossining , new york ?"
4,when was the first wall street journal published ?
4,how much does one ton of cement cost ?
OTHERS,"what is the origin of the word , magic ?"
OTHERS,"what did fcc chairman newton minow declare tv to be on may 9 , 1961 ?"
5,where can i find a case on americans with disabilities act of 199 ?
5,what sea surrounds the cayman islands ?
OTHERS,what was the chivington massacre ?
5,where can i get information about cystic fibrosis ?
OTHERS,what broadway show introduced the song some enchanted evening ?
3,who painted mother and child ?
5,what are all the southern states of the united states ?
5,what is the homelite inc. home page ?
OTHERS,"what stephen sondheim ballad ends : `` well , maybe next year.. . '' ?"
OTHERS,what kind of creature is a coot ?
OTHERS,what are fortune 500 companies ?
5,where did the ukulele originate ?
OTHERS,what 's the literary term for a play on words ?
OTHERS,what is one of the languages spoken by the sioux called ?
OTHERS,what was edward albee 's first full-length play ?
5,"what river flows through vienna , budapest and belgrade ?"
OTHERS,what kind of fish is a coney ?
5,where is amsterdam ?
5,where is qatar ?
3,what united states president had dreamed that he was assassinated ?
3,what 's the middle name of movie producer joseph e. levine ?
OTHERS,what was the food of the greek gods called ?
3,who was ben casey 's boss ?
3,which rockefeller was sometimes called `` jdr3 '' ?
4,what is the population of japan ?
OTHERS,what musical instrument did sherlock holmes play ?
OTHERS,what does the name ` alexandra ' mean ?
5,what north american city boasts the biggest polish population ?
OTHERS,how can i call a friend in another country when i do not know the telephone number ?
OTHERS,what do the red-and-white stripes on a barbershop pole stand for ?
OTHERS,what was the name of the u.s. 's first manned space program ?
OTHERS,what was the monster in spielberg 's film `` jaws '' ?
OTHERS,what leon uris novel dealt with the russian capture of berlin ?
OTHERS,why do movie and tv stars get paid so much ?
OTHERS,what is the treatment for depression ?
OTHERS,what trade did the 15th and 16th century portuguese hope to control between asia and europe ?
4,how much of the silver production is manufactured by independent silversmiths ?
5,"what country was first to use the airplane as a weapon of war , against the turks in libya ?"
OTHERS,what is the difference between khaki and chino ?
5,what 's the largest u.s. city on the great lakes ?
5,what is the oldest ethnological museum in the world ?
4,what amount of money did the philippine ex-dictator marcos steal from the treasury ?
3,what king was forced to agree to the magna carta ?
OTHERS,what is nebraska 's most valuable resource ?
4,what is the speed of the mississippi river ?
OTHERS,what is the belt of low pressure around the equator called ?
OTHERS,in what medium is stuart hamblen considered to be the first singing cowboy ?
3,who is the monarch of the united kingdom ?
5,where can one find mozambique ?
OTHERS,what is the shape of a football as stated in the nfl rulebook ?
OTHERS,what is the most radioactive food ?
OTHERS,what is the c programming language ?
5,what is the longest river in the united states ?
3,who shot and killed himself while painting wheatfield with crows ?
4,in what year did the us marine corps adopt the motto `` semper fidelis '' ?
5,what country has the most coastline ?
OTHERS,what was the name of hitler 's unsuccessful attempt to overthrow the bavarian government in munich in 1923 ?
3,what u.s. president was the first to breed mules ?
OTHERS,"what is black hills , south dakota most famous for ?"
OTHERS,define the pheonix club ?
OTHERS,what is margaret thatcher known for ?
3,name the ranger who was always after yogi bear .
OTHERS,what kind of fruit is a yellow transparent ?
OTHERS,how does an ion drive work ?
4,when was the triangle shirtwaist fire ?
OTHERS,what is a good book to read for people who hate to read ?
5,where can i find information on becoming a journalist ?
5,what colorado city owns its own glacier ?
OTHERS,"what was the name of the crimean meeting of roosevelt , churchill , and stalin ?"
3,what part did john peter zenger play in the deveopment of the newspaper in america ?
5,what state was named the green mountain state ?
OTHERS,what does the theory of quantum leaps mean in simpler terms ?
OTHERS,what is the term for a group of geese ?
OTHERS,how can someone become a federal agent ?
OTHERS,what is typhoid fever ?
2,what is the abbreviated form of the national bureau of investigation ?
4,how much of the earth 's surface is permanently frozen ?
3,what is the name of joan jett 's band ?
3,what u.s. vice-president said : `` some newspapers dispose of their garbage by printing it '' ?
OTHERS,why can 't ostriches fly ?
5,where can i get piano music for the jamiroquai song everyday for the midi ?
4,how deep is a fathom ?
4,what age is benny carter ?
OTHERS,why doesn 't www.answers.com have any answers to my questions ?
4,when was beethoven born ?
3,who accompanied space ghost on his missions ?
OTHERS,"what robert louis stevenson novel was inspired by deacon william brodie , a cabinetmaker by day and burglar by night ?"
3,"who wrote the book , `` song of solomon '' ?"
3,saddam hussein was compared to whom by president bush ?
OTHERS,what did a 16th-century aztec athlete get for putting a rubber ball through a ring ?
OTHERS,what did vasco da gama discover ?
2,what is the abbreviation of general motors ?
OTHERS,how do telephones work ?
OTHERS,what card game can feature dealer 's choice ?
OTHERS,what are the first ten amendements passed ?
OTHERS,how do i contact answers.com ?
OTHERS,how is energy created ?
OTHERS,what causes rust ?
3,who is always trying to get the rent from andy capp ?
OTHERS,define spumante .
OTHERS,what carries sperm up into the pelvic region ?
5,what river is windsor castle on ?
3,who was ezra taft benson ?
OTHERS,what was the name of robert fulton 's most famous steamboat ?
OTHERS,what kind of education would you need to become an athletic trainer for the nfl ?
OTHERS,what tv series changed the names to protect the innocent ?
OTHERS,what rum is so `` mixable '' it is a one-brand bar ?
OTHERS,what is the biggest `` thing '' humans have made ?
5,where was the first zoo in the u.s. ?
2,what does necrosis mean ?
4,how much time does the blinking of an eye take ?
OTHERS,what 's the word for broken glass or sharp rocks embedded in cement on top of a wall ?
OTHERS,what handicraft requires you to interlace your warp and weft ?
3,"who says , `` if you don 't look good , we don 't look good '' ?"
OTHERS,what european race sees the winner of its mountain stage awarded a jersey with large red polka dots ?
5,where are zebras most likely found ?
OTHERS,what is a fear of fish ?
OTHERS,what is the predominant color of the tab label ?
OTHERS,what type of animal is the easiest kept pet there is ?
OTHERS,what do river otters eat ?
OTHERS,what are different products of petroleum ?
OTHERS,how did the months of the year get there name ?
OTHERS,what are the living conditions in cuba ?
3,the major league baseball team in pittsburgh is called what ?
5,what three european countries begin with the letter a ?
OTHERS,winnie the pooh is what kind of animal ?
OTHERS,what are pomegranates ?
OTHERS,what are the benefits of home school ?
OTHERS,what were the five opening words on ben casey ?
OTHERS,in what deodorant commercial did tenants have adjoining medicine cabinets ?
4,what is the protection rate of using condoms ?
OTHERS,what book is subtitled the preservation of favoured races in the struggle for life ?
4,how many meters are in a mile ?
3,who was chosen to be the first black chairman of the military joint chiefs of staff ?
4,how long does it take the typical hen to lay 19 dozen eggs ?
5,"what part of britain comprises the highlands , central lowlands , and southern uplands ?"
OTHERS,what is cabarnet sauvignon ?
5,where can i read about abraham lincoln ?
3,who released the internet worm in the late 1980s ?
OTHERS,what is the name of a language spoken by the sioux ?
5,what lake is sheboygan on ?
3,what was the man 's name who was killed in a duel with aaron burr ?
4,how many objects orbit the earth ?
3,who portrayed dracula in hammer studios ' films ?
OTHERS,how is cologne made ?
OTHERS,what are the best ways to improve employee morale at low cost ?
5,in what country is a stuck-out tongue a friendly greeting ?
4,how many pitchers occupy the shelf beside the crouching woman in edgar degas 's 1886 painting the tub ?
OTHERS,names of books by james a. michener set in the following locations ?
4,when did amtrak begin operations ?
5,where is the group m people from ?
OTHERS,what is the `` fourth dimension '' ?
OTHERS,what is the highest roman numeral ?
OTHERS,what was the infamous feat of germany 's u-2 submarine ?
3,who advised listeners to `` see the u.s.a. in your chevrolet '' ?
5,where on the internet can i get chemicals importers ?
4,how many jews were executed in concentration camps during wwii ?
3,what businesses or agencies would do an employment verification ?
5,where are the busiest amtrak rail stations in the u.s. ?
OTHERS,what daily newspaper will `` help you see clearer across the usa '' ?
4,what is the population of mexico ?
3,"what feathered cartoon characters do yugoslavians know as vlaja , gaja , and raja ?"
OTHERS,"what happened on january 15 , 1969 ?"
5,what city has the world 's longest subway system ?
4,how many colonies did germany get to keep after world war i ?
OTHERS,what shakespeare play opens with the line : `` now is the winter of our discontent.. . '' ?
OTHERS,what are maid-rites ?
OTHERS,what did n't rocky marciano do in his pro boxing career ?
3,who was santos-dumont ?
OTHERS,what movie has made the most money ?
4,when was the first flush toilet invented ?
5,what is the tallest building in japan ?
OTHERS,what animal occurs in spielberg 's `` jaws '' ?
3,what character in the beverly hillbillies has the given names daisy moses ?
3,"whose husbands have included conrad hilton jr. , and michael wilding ?"
OTHERS,how do i stop background noise in a car stereo ?
5,what is britain 's possession on the chinese mainland ?
OTHERS,where does your hair grow the fastest ?
OTHERS,what hair color can i use to just cover a little gray ?
OTHERS,how do they type chinese characters on a keyboard ?
3,what is a person called that likes fire ?
5,where is the highest point in japan ?
5,which two states enclose chesapeake bay ?
OTHERS,what type of hunting are retrievers used for ?
5,what are the 10 largest cities in the us ?
3,whose kidnaping was termed the crime of the century ?
OTHERS,what does an edentulous smile lack ?
5,what countries have the highest ratio of university students ?
OTHERS,how do storms form ?
4,how many cds has garth brooks sold ?
4,how old is the universe ?
5,"what city boasts penn 's landing , on the banks of the delaware river ?"
3,who tramped through florida looking for the fountain of youth ?
3,what relative of leo tolstoy translated war and peace eight times ?
3,what contemptible scoundrel stole the cork from my lunch ?
OTHERS,what does caliente translate to in english ?
4,how many boys play the game in winslow homer 's 1872 painting snap the whip ?
4,how big is the universe actually ?
5,what kentucky city calls itself the horse center of america ?
5,where does the u.s. get most of its energy ?
OTHERS,what kind of poisoning is known as plumbism ?
4,what is the quantity of american soldiers still unaccounted for from the vietnam war ?
3,what college football team did knute rockne build into a power ?
3,name the lawyer for randy craft .
OTHERS,what hermann hesse book gave its name to a rock group ?
OTHERS,what causes someone to be ticklish ?
OTHERS,how did people respond to the idea of the first millenium ?
OTHERS,what is nuclear proliferation ?
5,"where was `` i have fallen , and i can 't get up '' said first ?"
OTHERS,how do fuel injectors work ?
OTHERS,what is a ball that hits the foul pole called ?
OTHERS,what color were their horses ?
5,what is the location of mccarren airport ?
5,what country 's capital is lagos ?
OTHERS,what does the name shawn mean ?
3,"what actor starred in 1980 's blue lagoon , 1982 's the pirate movie and 1983 's a night in heaven ?"
4,when was the first barbie produced ?
3,name one of king henry viii 's wives .
4,what was the price of varian associates ' vacuum products division ?
4,"how long is the world 's largest ship , in meters ?"
OTHERS,which gender has bigger thighs ?
OTHERS,what meat complemented sweet potatoes and peas in the first tv dinner ?
3,which of these are authors ?
4,what is columbia tristar 's phone number ?
OTHERS,what does the double-o indicate in 007 ?
5,what is the oldest website on the internet ?
OTHERS,what is the origin of the word ozymandias ?
5,where is the oldest living thing on earth ?
OTHERS,what does a philatelist collect ?
OTHERS,what game is garry kasparov really good at ?
OTHERS,what english word has the most letters ?
OTHERS,what is the gay science ?
5,which city in canada is the least-populated ?
OTHERS,what is a female rabbit called ?
OTHERS,what is the most commonly used 1 letter word in the english language ?
5,what two countries are separated by the bering strait ?
OTHERS,what future movie treat was introduced to american colonists in 1603 by native americans ?
4,how many `` eyes '' does a coconut have ?
5,what is the city in which maurizio pellegrin lives called ?
5,what london street claims to be the world center for men 's tailoring ?
4,shea and gould had an office in los angeles for how long before closing it ?
4,what time of year is air travel the heaviest ?
3,what american won the world grand prix driving championship in 1978 ?
OTHERS,what does the six-footed musca domestica become when it enters a house ?
OTHERS,how do you make a computer chip ?
4,about how many soldiers died in world war ii ?
3,who moderated the first kennedy-nixon tv debate ?
OTHERS,what alloy do copper and tin form ?
3,"who sent the brief message `` i came , i saw , i conquered '' ?"
OTHERS,what will happen when sodium is put in water ?
OTHERS,what is the name of the chronic neurological autoimmune disease which attacks the protein sheath that surrounds nerve cells causing a gradual loss of movement in the body ?
3,who is the one independent member of congress ?
4,how many freckles does howdy doody have on his face ?
3,which of the following celebrities started his show-biz career as a disc jockey ?
3,who has won the most super bowls ?
OTHERS,what is endometriosis ?
5,where is one 's corpus callosum found ?
OTHERS,why is indiglo called indiglo ?
OTHERS,what are some ways to help someone with chicken pox ?
3,what task does the bouvier breed of dog perform ?
5,"what country , after canada and mexico , is closest to the u.s. ?"
3,which doonesbury character was likely to turn into a werewolf ?
